feature_id,rank,transformation,count,pattern_type
2.13,0,2.13→2.00,2,changes
2.13,0,2.13→2.36,1,changes
2.13,0,2.13→2.08,1,changes
2.13,0,2.13→1.95,1,changes
2.13,0,2.13→1.89,1,changes
2.13,0,2.13→1.80,1,changes
2.13,0,2.13→1.91,1,changes
2.13,0,2.13→1.90,1,changes
2.13,0,2.13→1.83,1,changes
2.13,0,2.13→1.79,1,changes
2.13,0,2.13→2.20,1,changes
2.14,0,2.14→2.00,6,changes
2.14,0,2.14→1.92,3,changes
2.14,0,2.14→1.93,3,changes
2.14,0,2.14→1.91,2,changes
2.14,0,2.14→1.67,1,changes
2.14,0,2.14→2.08,1,changes
2.14,0,2.14→2.20,1,changes
2.14,0,2.14→2.18,1,changes
2.14,0,2.14→2.31,1,changes
2.14,0,2.14→1.86,1,changes
2.14,0,2.14→1.85,1,changes
2.14,0,2.14→1.71,1,changes
2.14,0,2.14→1.83,1,changes
2.15,0,2.15→1.92,8,changes
2.15,0,2.15→2.00,5,changes
2.15,0,2.15→2.11,2,changes
2.15,0,2.15→1.93,2,changes
2.15,0,2.15→1.91,2,changes
2.15,0,2.15→2.50,1,changes
2.15,0,2.15→2.08,1,changes
2.15,0,2.15→2.14,1,changes
2.15,0,2.15→1.87,1,changes
2.15,0,2.15→2.20,1,changes
2.15,0,2.15→2.09,1,changes
2.15,0,2.15→1.85,1,changes
2.15,0,2.15→2.22,1,changes
2.15,0,2.15→1.83,1,changes
2.17,0,2.17→2.00,8,changes
2.17,0,2.17→1.91,2,changes
2.17,0,2.17→2.09,1,changes
2.17,0,2.17→1.60,1,changes
2.17,0,2.17→2.21,1,changes
2.17,0,2.17→2.18,1,changes
2.17,0,2.17→1.67,1,changes
2.17,0,2.17→1.56,1,changes
2.17,0,2.17→1.33,1,changes
2.17,0,2.17→1.86,1,changes
2.17,0,2.17→2.12,1,changes
2.17,0,2.17→2.10,1,changes
2.17,0,2.17→1.92,1,changes
2.17,0,2.17→1.69,1,changes
2.17,0,2.17→1.83,1,changes
2.17,0,2.17→1.73,1,changes
2.17,0,2.17→1.76,1,changes
2.17,0,2.17→2.08,1,changes
2.17,0,2.17→1.82,1,changes
2.17,0,2.17→1.75,1,changes
2.17,0,2.17→1.94,1,changes
2.17,0,2.17→1.80,1,changes
2.17,0,2.17→1.50,1,changes
2.18,0,2.18→2.00,7,changes
2.18,0,2.18→1.89,2,changes
2.18,0,2.18→1.70,2,changes
2.18,0,2.18→2.12,2,changes
2.18,0,2.18→1.43,2,changes
2.18,0,2.18→1.91,2,changes
2.18,0,2.18→1.80,2,changes
2.18,0,2.18→2.11,2,changes
2.18,0,2.18→1.88,2,changes
2.18,0,2.18→2.33,1,changes
2.18,0,2.18→2.25,1,changes
2.18,0,2.18→2.22,1,changes
2.18,0,2.18→2.50,1,changes
2.18,0,2.18→1.56,1,changes
2.18,0,2.18→1.71,1,changes
2.18,0,2.18→2.06,1,changes
2.18,0,2.18→1.90,1,changes
2.18,0,2.18→2.17,1,changes
2.18,0,2.18→1.92,1,changes
2.18,0,2.18→1.93,1,changes
2.18,0,2.18→1.77,1,changes
2.18,0,2.18→1.82,1,changes
2.18,0,2.18→1.78,1,changes
2.18,0,2.18→2.43,1,changes
2.19,0,2.19→1.80,3,changes
2.19,0,2.19→2.00,2,changes
2.19,0,2.19→1.93,2,changes
2.19,0,2.19→1.73,1,changes
2.19,0,2.19→2.15,1,changes
2.19,0,2.19→2.31,1,changes
2.19,0,2.19→1.81,1,changes
2.19,0,2.19→2.08,1,changes
2.19,0,2.19→2.07,1,changes
2.20,0,2.20→2.00,6,changes
2.20,0,2.20→1.71,3,changes
2.20,0,2.20→1.92,2,changes
2.20,0,2.20→1.80,2,changes
2.20,0,2.20→1.67,1,changes
2.20,0,2.20→1.89,1,changes
2.20,0,2.20→1.40,1,changes
2.20,0,2.20→1.56,1,changes
2.20,0,2.20→2.36,1,changes
2.20,0,2.20→2.08,1,changes
2.20,0,2.20→2.22,1,changes
2.20,0,2.20→1.94,1,changes
2.20,0,2.20→2.13,1,changes
2.20,0,2.20→1.88,1,changes
2.20,0,2.20→2.07,1,changes
2.20,0,2.20→1.90,1,changes
2.20,0,2.20→1.91,1,changes
2.20,0,2.20→1.85,1,changes
2.21,0,2.21→2.00,7,changes
2.21,0,2.21→1.93,2,changes
2.21,0,2.21→1.92,2,changes
2.21,0,2.21→1.91,2,changes
2.21,0,2.21→1.69,1,changes
2.21,0,2.21→1.50,1,changes
2.21,0,2.21→1.80,1,changes
2.21,0,2.21→2.12,1,changes
2.21,0,2.21→2.06,1,changes
2.21,0,2.21→2.17,1,changes
2.21,0,2.21→2.08,1,changes
2.22,0,2.22→2.00,7,changes
2.22,0,2.22→1.57,2,changes
2.22,0,2.22→2.14,2,changes
2.22,0,2.22→1.91,2,changes
2.22,0,2.22→1.78,1,changes
2.22,0,2.22→1.80,1,changes
2.22,0,2.22→1.62,1,changes
2.22,0,2.22→2.11,1,changes
2.22,0,2.22→2.06,1,changes
2.22,0,2.22→1.89,1,changes
2.23,0,2.23→1.60,3,changes
2.23,0,2.23→1.88,2,changes
2.23,0,2.23→2.00,2,changes
2.23,0,2.23→2.10,2,changes
2.23,0,2.23→1.92,2,changes
2.23,0,2.23→1.67,1,changes
2.23,0,2.23→1.64,1,changes
2.23,0,2.23→1.89,1,changes
2.23,0,2.23→1.85,1,changes
2.23,0,2.23→2.08,1,changes
2.23,0,2.23→2.07,1,changes
2.23,0,2.23→2.09,1,changes
2.23,0,2.23→1.91,1,changes
2.23,0,2.23→2.12,1,changes
2.23,0,2.23→1.79,1,changes
2.24,0,2.24→1.82,2,changes
2.24,0,2.24→1.85,1,changes
2.24,0,2.24→2.15,1,changes
2.25,0,2.25→2.00,11,changes
2.25,0,2.25→2.20,5,changes
2.25,0,2.25→1.92,4,changes
2.25,0,2.25→1.60,3,changes
2.25,0,2.25→2.12,3,changes
2.25,0,2.25→1.50,2,changes
2.25,0,2.25→1.93,2,changes
2.25,0,2.25→1.91,2,changes
2.25,0,2.25→2.10,2,changes
2.25,0,2.25→1.90,2,changes
2.25,0,2.25→2.38,2,changes
2.25,0,2.25→2.14,2,changes
2.25,0,2.25→1.83,1,changes
2.25,0,2.25→1.75,1,changes
2.25,0,2.25→2.33,1,changes
2.25,0,2.25→1.57,1,changes
2.25,0,2.25→1.88,1,changes
2.25,0,2.25→1.81,1,changes
2.25,0,2.25→1.82,1,changes
2.25,0,2.25→2.22,1,changes
2.25,0,2.25→2.09,1,changes
2.25,0,2.25→2.17,1,changes
2.25,0,2.25→2.08,1,changes
2.25,0,2.25→1.64,1,changes
2.25,0,2.25→1.86,1,changes
2.27,0,2.27→2.00,7,changes
2.27,0,2.27→2.11,7,changes
2.27,0,2.27→2.20,2,changes
2.27,0,2.27→2.09,2,changes
2.27,0,2.27→1.58,1,changes
2.27,0,2.27→2.55,1,changes
2.27,0,2.27→1.78,1,changes
2.27,0,2.27→1.55,1,changes
2.27,0,2.27→1.91,1,changes
2.27,0,2.27→1.56,1,changes
2.27,0,2.27→2.25,1,changes
2.27,0,2.27→1.71,1,changes
2.27,0,2.27→1.75,1,changes
2.27,0,2.27→1.67,1,changes
2.27,0,2.27→1.90,1,changes
2.27,0,2.27→2.12,1,changes
2.27,0,2.27→1.73,1,changes
2.27,0,2.27→1.80,1,changes
2.27,0,2.27→2.08,1,changes
2.27,0,2.27→1.89,1,changes
2.27,0,2.27→2.13,1,changes
2.29,0,2.29→2.00,7,changes
2.29,0,2.29→1.80,2,changes
2.29,0,2.29→1.64,1,changes
2.29,0,2.29→1.89,1,changes
2.29,0,2.29→2.27,1,changes
2.29,0,2.29→1.82,1,changes
2.29,0,2.29→1.83,1,changes
2.29,0,2.29→2.18,1,changes
2.29,0,2.29→1.91,1,changes
2.29,0,2.29→1.50,1,changes
2.29,0,2.29→3.07,1,changes
2.29,0,2.29→1.85,1,changes
2.29,0,2.29→2.14,1,changes
2.29,0,2.29→2.42,1,changes
2.29,0,2.29→1.92,1,changes
2.29,0,2.29→1.79,1,changes
2.29,0,2.29→2.23,1,changes
2.29,0,2.29→2.40,1,changes
2.29,0,2.29→1.75,1,changes
2.29,0,2.29→1.86,1,changes
2.30,0,2.30→1.90,2,changes
2.30,0,2.30→1.75,2,changes
2.30,0,2.30→1.71,1,changes
2.30,0,2.30→2.22,1,changes
2.30,0,2.30→1.86,1,changes
2.30,0,2.30→2.00,1,changes
2.30,0,2.30→1.88,1,changes
2.30,0,2.30→2.33,1,changes
2.30,0,2.30→2.11,1,changes
2.30,0,2.30→1.81,1,changes
2.30,0,2.30→2.12,1,changes
2.30,0,2.30→2.25,1,changes
2.30,0,2.30→1.73,1,changes
2.30,0,2.30→2.10,1,changes
2.31,0,2.31→2.00,4,changes
2.31,0,2.31→1.83,2,changes
2.31,0,2.31→2.10,2,changes
2.31,0,2.31→1.82,1,changes
2.31,0,2.31→2.33,1,changes
2.31,0,2.31→2.30,1,changes
2.31,0,2.31→2.11,1,changes
2.31,0,2.31→1.75,1,changes
2.31,0,2.31→1.73,1,changes
2.31,0,2.31→1.76,1,changes
2.31,0,2.31→1.91,1,changes
2.31,0,2.31→2.25,1,changes
2.31,0,2.31→2.23,1,changes
2.31,0,2.31→2.18,1,changes
2.31,0,2.31→1.92,1,changes
2.31,0,2.31→1.93,1,changes
2.31,0,2.31→1.94,1,changes
2.33,0,2.33→2.00,11,changes
2.33,0,2.33→2.22,4,changes
2.33,0,2.33→2.12,3,changes
2.33,0,2.33→2.10,3,changes
2.33,0,2.33→1.56,2,changes
2.33,0,2.33→1.43,2,changes
