pair_unit,frequency
DEP-REL-CHG:case→compound,153
DEP-REL-CHG:compound→nmod,51
DEP-REL-CHG:amod→acl:relcl,4
DEP-REL-CHG:nmod→nummod,4
LENGTH-CHG:15→11,37
CONST-REM:ADJP-REM→ABSENT,25
TED-ZHANG-SHASHA:11→11,50
TED-KLEIN:10→10,95
PUNCT-DEL:hyphen→,11
TREE-DEPTH-DIFF:11→11,17
CONST-COUNT-DIFF:30→26,8
DEP-DIST-DIFF:3.00→1.70,2
BRANCH-DIFF:1.93→1.67,3
DEP-REL-CHG:aux→root,176
DEP-REL-CHG:root→xcomp,31
DEP-REL-CHG:xcomp→obj,11
HEAD-CHG:6→5,21
LENGTH-CHG:11→9,21
CLAUSE-TYPE-CHG:Ger→Fin,76
TED-ZHANG-SHASHA:6→6,48
TED-KLEIN:17→17,28
TED-RTED:6→6,47
CONST-COUNT-DIFF:22→19,8
DEP-DIST-DIFF:1.90→1.50,1
BRANCH-DIFF:1.91→1.80,2
DEP-REL-CHG:punct→case,51
DEP-REL-CHG:nsubj→obl,13
DEP-REL-CHG:case→det,23
DEP-REL-CHG:compound→amod,32
DEP-REL-CHG:case→parataxis,13
TED-ZHANG-SHASHA:15→15,50
TED-RTED:18→18,38
TREE-DEPTH-DIFF:9→6,15
CONST-COUNT-DIFF:27→21,11
DEP-DIST-DIFF:3.36→2.60,1
BRANCH-DIFF:2.17→2.00,8
DEP-REL-CHG:nsubj:pass→nsubj,36
DEP-REL-CHG:aux:pass→case,60
LENGTH-CHG:13→9,18
CONST-REM:PP-REM→ABSENT,34
CONST-ADD:ABSENT→ADVP-ADD,22
TED-ZHANG-SHASHA:13→13,43
TED-KLEIN:13→13,38
TED-RTED:15→15,50
CONST-COUNT-DIFF:22→15,2
DEP-DIST-DIFF:3.08→2.38,1
BRANCH-DIFF:2.33→2.33,1
DEP-REL-CHG:det→punct,72
DEP-REL-CHG:punct→amod,57
DEP-REL-CHG:advmod→amod,2
DEP-REL-CHG:amod→root,30
DEP-REL-CHG:nsubj:pass→acl,16
DEP-REL-CHG:aux:pass→xcomp,14
DEP-REL-CHG:xcomp→obl,19
LENGTH-CHG:15→12,28
TED-KLEIN:28→28,7
TREE-DEPTH-DIFF:7→6,50
DEP-DIST-DIFF:2.29→1.64,1
BRANCH-DIFF:2.27→2.00,7
FW-ADD:ABSENT→ADP-ADD,79
DEP-REL-CHG:flat→det,3
DEP-REL-CHG:root→amod,57
DEP-REL-CHG:det→root,72
DEP-REL-CHG:cop→case,20
DEP-REL-CHG:advmod→compound,9
LENGTH-CHG:13→10,39
CONST-ADD:ABSENT→PP-ADD,14
TED-ZHANG-SHASHA:28→28,6
TED-RTED:28→28,19
TREE-DEPTH-DIFF:8→7,65
DEP-DIST-DIFF:4.00→1.78,1
BRANCH-DIFF:2.33→2.00,11
DEP-REL-CHG:aux:pass→root,34
DEP-REL-CHG:compound→case,81
TED-KLEIN:15→15,39
H-STRUCT:→micro-discourse,5
CONST-COUNT-DIFF:22→18,10
DEP-DIST-DIFF:2.67→2.00,6
BRANCH-DIFF:2.33→2.12,3
HEAD-CHG:5→4,24
LENGTH-CHG:11→8,16
TED-KLEIN:14→14,81
CONST-COUNT-DIFF:20→16,5
DEP-DIST-DIFF:2.30→1.71,1
BRANCH-DIFF:2.11→1.88,1
DEP-REL-CHG:case→nmod:poss,27
DEP-REL-CHG:nmod:poss→case,57
DEP-REL-CHG:amod→nmod,33
DEP-REL-CHG:nmod→cop,2
DEP-REL-CHG:case→root,80
TED-ZHANG-SHASHA:5→5,21
TED-KLEIN:5→5,16
TED-RTED:5→5,24
CONST-COUNT-DIFF:21→19,6
DEP-DIST-DIFF:2.70→3.12,1
BRANCH-DIFF:2.00→1.80,11
FORM-CHG:beat→beats,1
LENGTH-CHG:13→12,10
TREE-DEPTH-DIFF:6→8,3
CONST-COUNT-DIFF:22→22,2
DEP-DIST-DIFF:3.17→2.55,1
BRANCH-DIFF:2.33→2.10,3
DEP-REL-CHG:aux→compound,42
DEP-REL-CHG:obj→compound,36
LENGTH-CHG:15→10,21
CONST-COUNT-DIFF:24→18,4
DEP-DIST-DIFF:3.71→2.44,1
BRANCH-DIFF:2.56→2.12,1
DEP-REL-CHG:compound→acl,16
DEP-REL-CHG:mark→obj,46
DEP-REL-CHG:mark→root,14
DEP-REL-CHG:xcomp→compound,16
TED-ZHANG-SHASHA:23→23,14
TED-KLEIN:21→21,26
