feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,1.93,1.71,1.93→1.71,2
BRANCH-DIFF,2.20,2.10,2.20→2.10,2
BRANCH-DIFF,2.33,1.83,2.33→1.83,2
BRANCH-DIFF,2.00,1.70,2.00→1.70,2
BRANCH-DIFF,2.07,1.85,2.07→1.85,2
BRANCH-DIFF,2.33,1.90,2.33→1.90,2
BRANCH-DIFF,1.91,1.89,1.91→1.89,2
BRANCH-DIFF,1.91,1.82,1.91→1.82,2
BRANCH-DIFF,2.00,1.78,2.00→1.78,2
BRANCH-DIFF,2.27,2.22,2.27→2.22,2
BRANCH-DIFF,1.90,1.75,1.90→1.75,2
BRANCH-DIFF,2.18,2.11,2.18→2.11,2
BRANCH-DIFF,2.56,2.11,2.56→2.11,2
BRANCH-DIFF,2.40,1.92,2.40→1.92,1
BRANCH-DIFF,1.86,1.92,1.86→1.92,1
BRANCH-DIFF,1.88,1.71,1.88→1.71,1
BRANCH-DIFF,1.67,1.40,1.67→1.40,1
BRANCH-DIFF,2.14,2.30,2.14→2.30,1
BRANCH-DIFF,2.67,2.62,2.67→2.62,1
BRANCH-DIFF,1.90,1.67,1.90→1.67,1
BRANCH-DIFF,1.75,1.78,1.75→1.78,1
BRANCH-DIFF,1.86,1.86,1.86→1.86,1
BRANCH-DIFF,2.22,1.90,2.22→1.90,1
BRANCH-DIFF,2.22,1.80,2.22→1.80,1
BRANCH-DIFF,2.67,2.56,2.67→2.56,1
BRANCH-DIFF,2.14,1.75,2.14→1.75,1
BRANCH-DIFF,2.28,2.08,2.28→2.08,1
BRANCH-DIFF,2.08,1.80,2.08→1.80,1
BRANCH-DIFF,2.05,1.83,2.05→1.83,1
BRANCH-DIFF,1.91,1.67,1.91→1.67,1
BRANCH-DIFF,2.20,1.85,2.20→1.85,1
BRANCH-DIFF,2.08,1.67,2.08→1.67,1
BRANCH-DIFF,2.15,1.80,2.15→1.80,1
BRANCH-DIFF,1.76,1.53,1.76→1.53,1
BRANCH-DIFF,1.94,2.20,1.94→2.20,1
BRANCH-DIFF,2.40,2.57,2.40→2.57,1
BRANCH-DIFF,1.84,1.81,1.84→1.81,1
BRANCH-DIFF,2.00,2.22,2.00→2.22,1
BRANCH-DIFF,2.47,2.23,2.47→2.23,1
BRANCH-DIFF,2.31,1.80,2.31→1.80,1
BRANCH-DIFF,2.17,1.62,2.17→1.62,1
BRANCH-DIFF,2.42,2.38,2.42→2.38,1
BRANCH-DIFF,1.75,1.55,1.75→1.55,1
BRANCH-DIFF,2.46,2.23,2.46→2.23,1
BRANCH-DIFF,2.44,2.11,2.44→2.11,1
BRANCH-DIFF,2.33,1.86,2.33→1.86,1
BRANCH-DIFF,2.31,2.27,2.31→2.27,1
BRANCH-DIFF,1.94,1.82,1.94→1.82,1
BRANCH-DIFF,2.62,2.67,2.62→2.67,1
BRANCH-DIFF,2.19,2.62,2.19→2.62,1
BRANCH-DIFF,1.92,1.64,1.92→1.64,1
BRANCH-DIFF,1.79,1.62,1.79→1.62,1
BRANCH-DIFF,1.72,1.62,1.72→1.62,1
BRANCH-DIFF,1.80,1.62,1.80→1.62,1
BRANCH-DIFF,2.00,1.81,2.00→1.81,1
BRANCH-DIFF,2.83,2.80,2.83→2.80,1
BRANCH-DIFF,2.05,1.76,2.05→1.76,1
BRANCH-DIFF,2.57,2.60,2.57→2.60,1
BRANCH-DIFF,2.16,2.07,2.16→2.07,1
BRANCH-DIFF,1.81,1.81,1.81→1.81,1
BRANCH-DIFF,2.40,2.15,2.40→2.15,1
BRANCH-DIFF,1.82,1.65,1.82→1.65,1
BRANCH-DIFF,1.74,1.71,1.74→1.71,1
BRANCH-DIFF,2.42,2.40,2.42→2.40,1
BRANCH-DIFF,2.27,1.75,2.27→1.75,1
BRANCH-DIFF,2.23,1.92,2.23→1.92,1
BRANCH-DIFF,1.95,1.87,1.95→1.87,1
BRANCH-DIFF,2.06,1.85,2.06→1.85,1
BRANCH-DIFF,2.38,2.18,2.38→2.18,1
BRANCH-DIFF,2.00,2.20,2.00→2.20,1
BRANCH-DIFF,2.36,2.23,2.36→2.23,1
BRANCH-DIFF,2.06,1.77,2.06→1.77,1
BRANCH-DIFF,2.13,2.09,2.13→2.09,1
BRANCH-DIFF,1.79,1.75,1.79→1.75,1
BRANCH-DIFF,1.86,1.64,1.86→1.64,1
BRANCH-DIFF,1.90,1.78,1.90→1.78,1
BRANCH-DIFF,1.89,1.81,1.89→1.81,1
BRANCH-DIFF,2.09,1.88,2.09→1.88,1
BRANCH-DIFF,2.25,2.11,2.25→2.11,1
BRANCH-DIFF,2.15,1.89,2.15→1.89,1
BRANCH-DIFF,1.91,2.00,1.91→2.00,1
BRANCH-DIFF,2.20,1.86,2.20→1.86,1
BRANCH-DIFF,2.18,2.12,2.18→2.12,1
BRANCH-DIFF,2.10,1.84,2.10→1.84,1
BRANCH-DIFF,2.78,3.20,2.78→3.20,1
BRANCH-DIFF,2.08,1.75,2.08→1.75,1
BRANCH-DIFF,2.12,1.83,2.12→1.83,1
BRANCH-DIFF,1.71,1.60,1.71→1.60,1
BRANCH-DIFF,2.27,2.38,2.27→2.38,1
BRANCH-DIFF,1.82,1.85,1.82→1.85,1
BRANCH-DIFF,2.18,1.86,2.18→1.86,1
BRANCH-DIFF,2.29,2.30,2.29→2.30,1
BRANCH-DIFF,2.60,2.38,2.60→2.38,1
BRANCH-DIFF,2.44,2.33,2.44→2.33,1
BRANCH-DIFF,2.47,1.93,2.47→1.93,1
