pair_unit,frequency
DEP-REL-CHG:root→aux,14
DEP-REL-CHG:mark→advmod,16
DEP-REL-CHG:conj→amod,5
DEP-REL-CHG:amod→appos,14
PUNCT-ADD:→apostrophe,91
TREE-DEPTH-DIFF:12→9,37
CONST-COUNT-DIFF:32→25,11
DEP-DIST-DIFF:3.31→2.17,1
BRANCH-DIFF:2.07→2.00,10
DEP-REL-CHG:nsubj→nsubj:pass,10
DEP-REL-CHG:nsubj:pass→xcomp,2
DEP-REL-CHG:aux:pass→obj,5
DEP-REL-CHG:ccomp→nummod,7
DEP-REL-CHG:xcomp→punct,14
DEP-REL-CHG:punct→appos,40
DEP-REL-CHG:obj→flat,28
TREE-DEPTH-DIFF:13→11,9
CONST-COUNT-DIFF:31→26,9
DEP-DIST-DIFF:2.67→1.67,1
BRANCH-DIFF:2.00→1.92,6
DEP-REL-CHG:flat→cop,6
DEP-REL-CHG:punct→xcomp,8
DEP-REL-CHG:punct→det,11
DEP-REL-CHG:nsubj→amod,42
DEP-REL-CHG:cop→amod,10
DEP-REL-CHG:ccomp→compound,22
DEP-REL-CHG:mark→obj,52
DEP-REL-CHG:det→appos,26
LENGTH-CHG:18→13,27
TED-RTED:23→23,36
CONST-COUNT-DIFF:32→26,9
DEP-DIST-DIFF:3.24→2.08,1
BRANCH-DIFF:2.21→1.92,3
DEP-REL-CHG:det→case,111
DEP-REL-CHG:obj→nmod:poss,11
DEP-REL-CHG:flat→compound,16
CONST-COUNT-DIFF:25→21,14
DEP-DIST-DIFF:3.23→2.80,1
DEP-REL-CHG:amod→nmod:poss,7
DEP-REL-CHG:nmod:poss→compound,32
HEAD-CHG:7→6,7
LENGTH-CHG:15→12,39
CONST-COUNT-DIFF:25→19,9
DEP-DIST-DIFF:2.57→2.09,2
BRANCH-DIFF:2.40→2.57,1
FORM-CHG:helped→helps,2
HEAD-CHG:11→10,8
TED-KLEIN:6→6,19
CONST-COUNT-DIFF:22→20,8
DEP-DIST-DIFF:2.82→1.89,1
BRANCH-DIFF:2.10→1.90,3
DEP-REL-CHG:flat→nsubj:pass,2
DEP-REL-CHG:nsubj:pass→advmod,2
DEP-REL-CHG:nsubj→aux,34
DEP-REL-CHG:acl:relcl→compound:prt,1
DEP-REL-CHG:aux→dep,2
CONST-COUNT-DIFF:36→30,4
DEP-DIST-DIFF:3.94→2.23,1
BRANCH-DIFF:1.84→1.81,1
DEP-REL-CHG:cop→nummod,2
DEP-REL-CHG:det→mark,21
DEP-REL-CHG:root→acl,36
DEP-REL-CHG:mark→nummod,13
DEP-REL-CHG:csubj→obj,3
DEP-REL-CHG:nummod→case,33
DEP-REL-CHG:compound→advmod,9
CONST-COUNT-DIFF:29→21,15
DEP-DIST-DIFF:3.07→2.73,1
BRANCH-DIFF:2.00→2.22,1
DEP-REL-CHG:ccomp→mark,7
DEP-REL-CHG:obj→advcl,28
DEP-REL-CHG:nummod→obj,47
DEP-REL-CHG:mark→nmod,10
LENGTH-CHG:20→14,18
CONST-COUNT-DIFF:39→28,7
DEP-DIST-DIFF:3.47→2.23,1
BRANCH-DIFF:2.00→1.93,4
DEP-REL-CHG:root→nmod,15
DEP-REL-CHG:nsubj→acl,11
DEP-REL-CHG:cop→advmod,6
DEP-REL-CHG:ccomp→flat,22
TED-RTED:29→29,23
TREE-DEPTH-DIFF:11→6,9
CONST-COUNT-DIFF:28→19,1
DEP-DIST-DIFF:3.08→2.00,2
BRANCH-DIFF:1.93→2.00,2
DEP-REL-CHG:nummod→punct,53
DEP-REL-CHG:punct→obl:unmarked,21
DEP-REL-CHG:punct→parataxis,23
DEP-REL-CHG:amod→nummod,12
DEP-REL-CHG:root→obl:unmarked,6
DEP-REL-CHG:nummod→amod,13
DEP-REL-CHG:punct→nmod,33
DEP-REL-CHG:obj→acl,7
LENGTH-CHG:23→17,4
CONST-COUNT-DIFF:38→30,4
DEP-DIST-DIFF:3.18→2.19,1
BRANCH-DIFF:2.47→2.23,1
DEP-REL-CHG:aux:pass→nmod,6
LENGTH-CHG:18→9,3
TED-KLEIN:26→26,7
CONST-COUNT-DIFF:31→19,5
DEP-DIST-DIFF:2.35→1.62,1
BRANCH-DIFF:2.31→1.80,1
LENGTH-CHG:8→6,1
CONST-ADD:ABSENT→ADJP-ADD,40
TREE-DEPTH-DIFF:6→7,3
CONST-COUNT-DIFF:14→14,1
DEP-DIST-DIFF:2.29→1.60,2
BRANCH-DIFF:2.17→1.62,1
DEP-REL-CHG:appos→punct,8
DEP-REL-CHG:aux→det,12
LENGTH-CHG:12→9,27
TED-ZHANG-SHASHA:10→10,47
TED-KLEIN:19→19,22
CONST-COUNT-DIFF:20→15,3
