feature_id,rank,transformation,count,pattern_type
2.06,0,2.06→1.85,1,changes
2.06,0,2.06→1.77,1,changes
2.06,0,2.06→1.75,1,changes
2.06,0,2.06→2.08,1,changes
2.06,0,2.06→1.86,1,changes
2.06,0,2.06→2.18,1,changes
2.06,0,2.06→2.14,1,changes
2.06,0,2.06→1.73,1,changes
2.06,0,2.06→1.88,1,changes
2.06,0,2.06→2.33,1,changes
2.06,0,2.06→1.82,1,changes
2.07,0,2.07→2.00,10,changes
2.07,0,2.07→1.77,5,changes
2.07,0,2.07→1.91,3,changes
2.07,0,2.07→1.73,2,changes
2.07,0,2.07→1.83,2,changes
2.07,0,2.07→1.76,2,changes
2.07,0,2.07→2.09,2,changes
2.07,0,2.07→1.85,2,changes
2.07,0,2.07→1.60,1,changes
2.07,0,2.07→1.81,1,changes
2.07,0,2.07→1.90,1,changes
2.07,0,2.07→2.17,1,changes
2.07,0,2.07→1.92,1,changes
2.07,0,2.07→2.20,1,changes
2.07,0,2.07→1.67,1,changes
2.07,0,2.07→1.75,1,changes
2.07,0,2.07→1.93,1,changes
2.07,0,2.07→1.87,1,changes
2.07,0,2.07→2.18,1,changes
2.08,0,2.08→1.92,8,changes
2.08,0,2.08→2.00,8,changes
2.08,0,2.08→1.91,6,changes
2.08,0,2.08→1.90,5,changes
2.08,0,2.08→1.82,4,changes
2.08,0,2.08→1.83,4,changes
2.08,0,2.08→1.85,2,changes
2.08,0,2.08→1.89,2,changes
2.08,0,2.08→1.43,1,changes
2.08,0,2.08→1.44,1,changes
2.08,0,2.08→1.73,1,changes
2.08,0,2.08→2.60,1,changes
2.08,0,2.08→1.80,1,changes
2.08,0,2.08→1.67,1,changes
2.08,0,2.08→1.75,1,changes
2.08,0,2.08→2.12,1,changes
2.08,0,2.08→1.64,1,changes
2.08,0,2.08→2.11,1,changes
2.08,0,2.08→1.71,1,changes
2.08,0,2.08→2.10,1,changes
2.08,0,2.08→2.25,1,changes
2.08,0,2.08→2.22,1,changes
2.08,0,2.08→1.86,1,changes
2.08,0,2.08→1.69,1,changes
2.08,0,2.08→1.79,1,changes
2.08,0,2.08→2.09,1,changes
2.09,0,2.09→1.90,5,changes
2.09,0,2.09→2.00,4,changes
2.09,0,2.09→2.12,4,changes
2.09,0,2.09→1.89,3,changes
2.09,0,2.09→1.67,1,changes
2.09,0,2.09→1.75,1,changes
2.09,0,2.09→1.88,1,changes
2.09,0,2.09→1.80,1,changes
2.09,0,2.09→1.83,1,changes
2.09,0,2.09→2.10,1,changes
2.09,0,2.09→1.70,1,changes
2.09,0,2.09→2.22,1,changes
2.09,0,2.09→1.91,1,changes
2.10,0,2.10→2.00,6,changes
2.10,0,2.10→1.90,3,changes
2.10,0,2.10→2.14,2,changes
2.10,0,2.10→1.89,2,changes
2.10,0,2.10→1.82,2,changes
2.10,0,2.10→1.88,1,changes
2.10,0,2.10→1.71,1,changes
2.10,0,2.10→1.50,1,changes
2.10,0,2.10→1.57,1,changes
2.10,0,2.10→1.84,1,changes
2.10,0,2.10→1.94,1,changes
2.10,0,2.10→1.73,1,changes
2.11,0,2.11→2.00,5,changes
2.11,0,2.11→1.88,3,changes
2.11,0,2.11→1.92,3,changes
2.11,0,2.11→1.50,1,changes
2.11,0,2.11→1.57,1,changes
2.11,0,2.11→2.17,1,changes
2.11,0,2.11→2.14,1,changes
2.11,0,2.11→1.81,1,changes
2.11,0,2.11→1.93,1,changes
2.11,0,2.11→1.73,1,changes
2.11,0,2.11→1.94,1,changes
2.11,0,2.11→1.87,1,changes
2.12,0,2.12→2.00,8,changes
2.12,0,2.12→1.86,5,changes
2.12,0,2.12→1.93,5,changes
2.12,0,2.12→1.92,4,changes
2.12,0,2.12→1.88,4,changes
2.12,0,2.12→2.11,2,changes
2.12,0,2.12→1.83,1,changes
2.12,0,2.12→1.69,1,changes
2.12,0,2.12→1.85,1,changes
2.12,0,2.12→1.75,1,changes
2.12,0,2.12→2.09,1,changes
2.12,0,2.12→2.25,1,changes
2.12,0,2.12→1.79,1,changes
2.12,0,2.12→2.08,1,changes
2.12,0,2.12→2.07,1,changes
2.13,0,2.13→2.00,5,changes
2.13,0,2.13→1.92,2,changes
2.13,0,2.13→1.64,1,changes
2.13,0,2.13→2.09,1,changes
2.13,0,2.13→1.79,1,changes
2.13,0,2.13→2.08,1,changes
2.13,0,2.13→1.83,1,changes
2.13,0,2.13→1.85,1,changes
2.14,0,2.14→2.00,3,changes
2.14,0,2.14→2.09,3,changes
2.14,0,2.14→1.77,2,changes
2.14,0,2.14→1.91,2,changes
2.14,0,2.14→1.89,1,changes
2.14,0,2.14→2.30,1,changes
2.14,0,2.14→1.75,1,changes
2.14,0,2.14→1.85,1,changes
2.14,0,2.14→1.79,1,changes
2.14,0,2.14→1.82,1,changes
2.14,0,2.14→1.92,1,changes
2.14,0,2.14→2.18,1,changes
2.14,0,2.14→2.08,1,changes
2.14,0,2.14→1.86,1,changes
2.15,0,2.15→2.00,5,changes
2.15,0,2.15→1.92,4,changes
2.15,0,2.15→1.83,3,changes
2.15,0,2.15→2.09,2,changes
2.15,0,2.15→2.10,2,changes
2.15,0,2.15→1.85,2,changes
2.15,0,2.15→1.82,2,changes
2.15,0,2.15→1.56,1,changes
2.15,0,2.15→1.50,1,changes
