pair_unit,frequency
DEP-REL-CHG:aux→obj,30
DEP-REL-CHG:obj→punct,22
TREE-DEPTH-DIFF:8→7,47
DEP-DIST-DIFF:2.00→1.33,12
BRANCH-DIFF:2.11→1.75,2
DEP-REL-CHG:conj→compound,6
DEP-REL-CHG:obj→case,65
DEP-REL-CHG:case→nmod:poss,10
DEP-REL-CHG:nmod:poss→nmod,3
LENGTH-CHG:12→9,24
TED-ZHANG-SHASHA:22→22,4
CONST-COUNT-DIFF:22→18,7
DEP-DIST-DIFF:2.91→2.38,1
BRANCH-DIFF:2.10→1.89,5
DEP-REL-CHG:nsubj:pass→nsubj,37
DEP-REL-CHG:case→obj,20
LENGTH-CHG:15→8,1
TED-ZHANG-SHASHA:21→21,10
TED-RTED:22→22,7
TREE-DEPTH-DIFF:11→7,2
CONST-COUNT-DIFF:29→19,2
DEP-DIST-DIFF:2.93→2.00,1
BRANCH-DIFF:2.00→1.64,2
DEP-REL-CHG:ccomp→root,12
TED-RTED:10→10,56
CONST-COUNT-DIFF:17→15,8
DEP-DIST-DIFF:1.57→1.40,1
BRANCH-DIFF:1.78→1.56,2
TED-KLEIN:6→6,36
DEP-DIST-DIFF:2.00→1.80,2
BRANCH-DIFF:2.00→1.71,13
DEP-REL-CHG:cop→mark,7
DEP-REL-CHG:root→advcl,8
DEP-REL-CHG:mark→compound,15
DEP-REL-CHG:advcl→obj,7
DEP-REL-CHG:det→xcomp,5
DEP-REL-CHG:obj→obl,13
TREE-DEPTH-DIFF:12→11,6
CONST-COUNT-DIFF:28→21,6
DEP-DIST-DIFF:2.71→1.62,1
BRANCH-DIFF:2.08→1.67,1
DEP-REL-CHG:compound→nummod,9
DEP-REL-CHG:nummod→punct,16
DEP-REL-CHG:obl:unmarked→amod,1
DEP-REL-CHG:advmod→compound,3
DEP-REL-CHG:xcomp→acl,3
LENGTH-CHG:9→8,25
CONST-COUNT-DIFF:18→14,13
DEP-DIST-DIFF:2.12→1.71,1
